Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01016849,Brighton and Hove 026A,-8,Does not apply,0
E01016849,Brighton and Hove 026A,1,Household is not deprived in any dimension,444
E01016849,Brighton and Hove 026A,2,Household is deprived in one dimension,254
E01016849,Brighton and Hove 026A,3,Household is deprived in two dimensions,105
E01016849,Brighton and Hove 026A,4,Household is deprived in three dimensions,16
E01016849,Brighton and Hove 026A,5,Household is deprived in four dimensions,7
E01016850,Brighton and Hove 029A,-8,Does not apply,0
E01016850,Brighton and Hove 029A,1,Household is not deprived in any dimension,451
E01016850,Brighton and Hove 029A,2,Household is deprived in one dimension,279
E01016850,Brighton and Hove 029A,3,Household is deprived in two dimensions,112
E01016850,Brighton and Hove 029A,4,Household is deprived in three dimensions,21
E01016850,Brighton and Hove 029A,5,Household is deprived in four dimensions,9
E01016851,Brighton and Hove 029B,-8,Does not apply,0
E01016851,Brighton and Hove 029B,1,Household is not deprived in any dimension,505
E01016851,Brighton and Hove 029B,2,Household is deprived in one dimension,357
E01016851,Brighton and Hove 029B,3,Household is deprived in two dimensions,137
E01016851,Brighton and Hove 029B,4,Household is deprived in three dimensions,25
E01016851,Brighton and Hove 029B,5,Household is deprived in four dimensions,5
E01016852,Brighton and Hove 026B,-8,Does not apply,0
E01016852,Brighton and Hove 026B,1,Household is not deprived in any dimension,416
E01016852,Brighton and Hove 026B,2,Household is deprived in one dimension,322
E01016852,Brighton and Hove 026B,3,Household is deprived in two dimensions,141
E01016852,Brighton and Hove 026B,4,Household is deprived in three dimensions,32
E01016852,Brighton and Hove 026B,5,Household is deprived in four dimensions,9
E01016853,Brighton and Hove 026C,-8,Does not apply,0
E01016853,Brighton and Hove 026C,1,Household is not deprived in any dimension,519
E01016853,Brighton and Hove 026C,2,Household is deprived in one dimension,392
E01016853,Brighton and Hove 026C,3,Household is deprived in two dimensions,114
E01016853,Brighton and Hove 026C,4,Household is deprived in three dimensions,38
E01016853,Brighton and Hove 026C,5,Household is deprived in four dimensions,2
E01016854,Brighton and Hove 029C,-8,Does not apply,0
E01016854,Brighton and Hove 029C,1,Household is not deprived in any dimension,443
E01016854,Brighton and Hove 029C,2,Household is deprived in one dimension,365
E01016854,Brighton and Hove 029C,3,Household is deprived in two dimensions,144
E01016854,Brighton and Hove 029C,4,Household is deprived in three dimensions,34
E01016854,Brighton and Hove 029C,5,Household is deprived in four dimensions,6
E01016855,Brighton and Hove 026D,-8,Does not apply,0
E01016855,Brighton and Hove 026D,1,Household is not deprived in any dimension,442
E01016855,Brighton and Hove 026D,2,Household is deprived in one dimension,352
E01016855,Brighton and Hove 026D,3,Household is deprived in two dimensions,127
E01016855,Brighton and Hove 026D,4,Household is deprived in three dimensions,38
E01016855,Brighton and Hove 026D,5,Household is deprived in four dimensions,3
E01016856,Brighton and Hove 026E,-8,Does not apply,0
E01016856,Brighton and Hove 026E,1,Household is not deprived in any dimension,399
E01016856,Brighton and Hove 026E,2,Household is deprived in one dimension,344
E01016856,Brighton and Hove 026E,3,Household is deprived in two dimensions,148
E01016856,Brighton and Hove 026E,4,Household is deprived in three dimensions,38
E01016856,Brighton and Hove 026E,5,Household is deprived in four dimensions,1
E01016857,Brighton and Hove 028A,-8,Does not apply,0
